,1,2,3,4,5,6,7,8,9,10
knife,1,2,2,3,3,4,4,5,5,6
shortsword,,2,3,4,5,5,6,7,8,8
sword,,,,4,5,6,7,8,9,10
greatsword,,,,,6,7,8,9,10,11
hatchet,,2,3,3,4,4,5,5,6,6
axe,,,,,5,6,7,7,8,9
battle axe,,,,,,7,7,8,9,10
poleaxe,,,,,,7,8,9,10,11
short spear,,2,3,3,4,4,5,5,6,6
spear,,,3,4,4,5,5,6,6,7
lance,,,,4,5,5,6,6,7,7
pike,,,,,5,6,7,7,8,9
club,2,2,3,3,4,4,5,5,6,6
hammer,,,4,4,5,6,7,7,8,9
mace,,,,,6,7,7,8,9,10
flail,,,,,6,7,8,9,10,11
warhammer,,,,,,7,8,9,10,11
fist,1,1,2,2,3,3,4,4,5,5
kick,1,2,3,3,4,5,6,6,7,8
small bite,1,1,1,1,2,2,2,2,3,3
great bite,,,,,3,4,4,5,5,6
claw,,,,1,2,2,2,2,3,3
hoof strike (rear),,,,,3,4,4,5,5,6
hoof strike (front),,,,,,2,3,3,3,3
horn,,,,,,5,6,7,8,8
trample,,,,4,5,6,7,7,8,9
